encoding,opcode,mnemonic,recognised,attributed_to,vendor_only,broad_mnemonic,broad_ext,active,n_events_deviating,lax_decode_of,verdict,recognised_zfh_incl,recognised_zfh_excl,zfh_only,reserved_rm,reserved_rm_zfh,arch_fault
0xb8005027,39,,False,,False,,,True,3,,undocumented_active,False,False,False,False,False,sigill
0xb8006027,39,,False,,False,,,True,3,,undocumented_active,False,False,False,False,False,sigill
0xb8007007,7,,False,,False,,,True,3,,undocumented_active,False,False,False,False,False,sigill
0xb8007027,39,,False,,False,,,True,7,,undocumented_active,False,False,False,False,False,sigill
0xba00000f,15,,False,,False,,,True,3,0x0000000f,undocumented_active,False,False,False,False,False,none
0xba000027,39,,False,,False,,,True,7,,undocumented_active,False,False,False,False,False,sigill
0xba00100f,15,,False,,False,,,True,3,0x0000100f,undocumented_active,False,False,False,False,False,none
0xba00400b,11,,False,,False,,,True,3,,undocumented_active,False,False,False,False,False,sigsegv
0xba005027,39,,False,,False,,,True,3,,undocumented_active,False,False,False,False,False,sigill
0xba006027,39,,False,,False,,,True,3,,undocumented_active,False,False,False,False,False,sigill
0xba007007,7,,False,,False,,,True,3,,undocumented_active,False,False,False,False,False,sigill
0xba007027,39,,False,,False,,,True,7,,undocumented_active,False,False,False,False,False,sigill
0xbc00000f,15,,False,,False,,,True,3,0x0000000f,undocumented_active,False,False,False,False,False,none
0xbc000027,39,,False,,False,,,True,6,,undocumented_active,False,False,False,False,False,sigill
0xbc00100f,15,,False,,False,,,True,3,0x0000100f,undocumented_active,False,False,False,False,False,none
0xbc00400b,11,,False,,False,,,True,3,,undocumented_active,False,False,False,False,False,sigsegv
0xbc005027,39,,False,,False,,,True,3,,undocumented_active,False,False,False,False,False,sigill
0xbc006027,39,,False,,False,,,True,3,,undocumented_active,False,False,False,False,False,sigill
0xbc007007,7,,False,,False,,,True,3,,undocumented_active,False,False,False,False,False,sigill
0xbc007027,39,,False,,False,,,True,6,,undocumented_active,False,False,False,False,False,sigill
0xbe00000f,15,,False,,False,,,True,3,0x0000000f,undocumented_active,False,False,False,False,False,none
0xbe000027,39,,False,,False,,,True,6,,undocumented_active,False,False,False,False,False,sigill
0xbe00100f,15,,False,,False,,,True,3,0x0000100f,undocumented_active,False,False,False,False,False,none
0xbe00400b,11,,False,,False,,,True,3,,undocumented_active,False,False,False,False,False,sigsegv
0xbe005027,39,,False,,False,,,True,3,,undocumented_active,False,False,False,False,False,sigill
0xbe006027,39,,False,,False,,,True,3,,undocumented_active,False,False,False,False,False,sigill
0xbe007007,7,,False,,False,,,True,3,,undocumented_active,False,False,False,False,False,sigill
0xbe007027,39,,False,,False,,,True,6,,undocumented_active,False,False,False,False,False,sigill
0xc000000f,15,,False,,False,,,True,3,0x0000000f,undocumented_active,False,False,False,False,False,none
0xc000100f,15,,False,,False,,,True,3,0x0000100f,undocumented_active,False,False,False,False,False,none
0xc000602f,47,,False,,False,th.vamominuw.v,xtheadzvamo,True,3,,undocumented_active,False,False,False,False,False,sigill
0xc000702f,47,,False,,False,th.vamominud.v,xtheadzvamo,True,3,,undocumented_active,False,False,False,False,False,sigill
0xc200000f,15,,False,,False,,,True,3,0x0000000f,undocumented_active,False,False,False,False,False,none
0xc200100f,15,,False,,False,,,True,3,0x0000100f,undocumented_active,False,False,False,False,False,none
0xc200602f,47,,False,,False,th.vamominuw.v,xtheadzvamo,True,3,,undocumented_active,False,False,False,False,False,sigill
0xc200702f,47,,False,,False,th.vamominud.v,xtheadzvamo,True,3,,undocumented_active,False,False,False,False,False,sigill
0xc400000f,15,,False,,False,,,True,3,0x0000000f,undocumented_active,False,False,False,False,False,none
0xc400100f,15,,False,,False,,,True,3,0x0000100f,undocumented_active,False,False,False,False,False,none
0xc400602f,47,,False,,False,th.vamominuw.v,xtheadzvamo,True,3,,undocumented_active,False,False,False,False,False,sigill
0xc400702f,47,,False,,False,th.vamominud.v,xtheadzvamo,True,3,,undocumented_active,False,False,False,False,False,sigill
0xc600000f,15,,False,,False,,,True,3,0x0000000f,undocumented_active,False,False,False,False,False,none
0xc6000053,83,,False,,False,,,True,1,,undocumented_active,False,False,False,False,False,sigill
0xc600100f,15,,False,,False,,,True,3,0x0000100f,undocumented_active,False,False,False,False,False,none
0xc6001053,83,,False,,False,,,True,1,,undocumented_active,False,False,False,False,False,sigill
0xc6002053,83,,False,,False,,,True,1,,undocumented_active,False,False,False,False,False,sigill
0xc6003053,83,,False,,False,,,True,1,,undocumented_active,False,False,False,False,False,sigill
